phone,phone_status,account_status,account_type,customer_id,bank_name,routing,swift,bank_type,branch_name,branch_address,branch_phone,account_state,account_city,full_name,first_name,middle_name,last_name,email,occupation,address,carrier,line_type,interest_rate,min_balance,monthly_fee,caller_firstname,caller_middlename,caller_lastname,caller_fullname
+17323439843,VALID,ACTIVE,Checking,ALLIANT-CUST-MG00-YSFCYQ,Alliant Credit Union,021407913,AFCUUS33,Credit Union,Alliant Credit Union HQ,"11545 W Touhy Ave, Chicago, IL 60666",800-328-1935,IL,Chicago,Robert Lee Miller,Robert,Lee,Miller,mikemiller42.mailbox@outlook.com,Engineer,"123 Main St, City, ST 12345",Unknown,Unknown,0.01%,$0,$0,Robert,Lee,Miller,Robert Lee Miller
+18548496747,VALID,ACTIVE,Checking,ALLIANT-CUST-I1RL-1N60KI,Alliant Credit Union,021407913,AFCUUS33,Credit Union,Alliant Credit Union HQ,"11545 W Touhy Ave, Chicago, IL 60666",800-328-1935,IL,Chicago,John Edward Moore,John,Edward,Moore,chriswilliams33@outlook.com,Engineer,"123 Main St, City, ST 12345",Unknown,Unknown,0.01%,$0,$0,John,Edward,Moore,John Edward Moore
+13234299596,VALID,ACTIVE,Checking,ALLIANT-CUST-EHHM-ZHCRVO,Alliant Credit Union,021407913,AFCUUS33,Credit Union,Alliant Credit Union HQ,"11545 W Touhy Ave, Chicago, IL 60666",800-328-1935,IL,Chicago,Randy Cook,Randy,,Cook,emmajones40_863@icloud.com,Engineer,"123 Main St, City, ST 12345",Unknown,Unknown,0.01%,$0,$0,Randy,,Cook,Randy Cook
+15067929689,VALID,ACTIVE,Checking,ALLIANT-CUST-USSC-1MRP9D,Alliant Credit Union,021407913,AFCUUS33,Credit Union,Alliant Credit Union HQ,"11545 W Touhy Ave, Chicago, IL 60666",800-328-1935,IL,Chicago,Jason Roberts,Jason,,Roberts,johnsmith64_306@icloud.com,Engineer,"123 Main St, City, ST 12345",Unknown,Unknown,0.01%,$0,$0,Jason,,Roberts,Jason Roberts
+17172135919,VALID,ACTIVE,Checking,ALLIANT-CUST-BYXY-Y37FXO,Alliant Credit Union,021407913,AFCUUS33,Credit Union,Alliant Credit Union HQ,"11545 W Touhy Ave, Chicago, IL 60666",800-328-1935,IL,Chicago,Maria Richardson,Maria,,Richardson,emmawilliams28.tech@protonmail.com,Engineer,"123 Main St, City, ST 12345",Unknown,Unknown,0.01%,$0,$0,Maria,,Richardson,Maria Richardson
+12537959147,VALID,ACTIVE,Checking,ALLIANT-CUST-IXLN-UNUBNK,Alliant Credit Union,021407913,AFCUUS33,Credit Union,Alliant Credit Union HQ,"11545 W Touhy Ave, Chicago, IL 60666",800-328-1935,IL,Chicago,Emily Brown,Emily,,Brown,emmadavis27@outlook.com,Engineer,"123 Main St, City, ST 12345",Unknown,Unknown,0.01%,$0,$0,Emily,,Brown,Emily Brown
+14426196769,VALID,ACTIVE,Checking,ALLIANT-CUST-WFNH-GZGVIY,Alliant Credit Union,021407913,AFCUUS33,Credit Union,Alliant Credit Union HQ,"11545 W Touhy Ave, Chicago, IL 60666",800-328-1935,IL,Chicago,Alan Bailey,Alan,,Bailey,ryangarcia72@outlook.com,Engineer,"123 Main St, City, ST 12345",Unknown,Unknown,0.01%,$0,$0,Alan,,Bailey,Alan Bailey
+15672653481,VALID,ACTIVE,Checking,ALLIANT-CUST-JLIO-0QX4WW,Alliant Credit Union,021407913,AFCUUS33,Credit Union,Alliant Credit Union HQ,"11545 W Touhy Ave, Chicago, IL 60666",800-328-1935,IL,Chicago,William James Brown,William,James,Brown,chrisgarcia29@protonmail.com,Engineer,"123 Main St, City, ST 12345",Unknown,Unknown,0.01%,$0,$0,William,James,Brown,William James Brown
+19753124754,VALID,ACTIVE,Checking,ALLIANT-CUST-NP6S-HGTQV1,Alliant Credit Union,021407913,AFCUUS33,Credit Union,Alliant Credit Union HQ,"11545 W Touhy Ave, Chicago, IL 60666",800-328-1935,IL,Chicago,Hannah Gray,Hannah,,Gray,chrissmith78@gmail.com,Engineer,"123 Main St, City, ST 12345",Unknown,Unknown,0.01%,$0,$0,Hannah,,Gray,Hannah Gray
+12168207151,VALID,ACTIVE,Checking,ALLIANT-CUST-RMOV-0NWM38,Alliant Credit Union,021407913,AFCUUS33,Credit Union,Alliant Credit Union HQ,"11545 W Touhy Ave, Chicago, IL 60666",800-328-1935,IL,Chicago,Russell Hughes,Russell,,Hughes,mikebrown75.inbox@protonmail.com,Engineer,"123 Main St, City, ST 12345",Unknown,Unknown,0.01%,$0,$0,Russell,,Hughes,Russell Hughes
