phone,institution,country,transit_status,inst_number,usa_routing_validation,account_type,account_status,account_state,account_city,branch_address,customer_fullname
+1 226 685 89426,Toronto-Dominion Bank,CA,Valid,004,NOT VALID - Not a US Bank Routing Number,CD,ACTIVE,LA,Chicago,"8181 Cedar St, Chicago, LA 85731",Sean Brooks
+1 226 032 03483,Toronto-Dominion Bank,CA,Valid,004,NOT VALID - Not a US Bank Routing Number,Student Checking,ACTIVE,ID,Chicago,"5784 Pine St, Chicago, ID 18553",Bruce Bennett
+1 647 970 20092,Toronto-Dominion Bank,CA,Invalid,004,NOT VALID - Not a US Bank Routing Number,CD,PENDING,TX,Austin,"5469 Cedar St, Austin, TX 78571",Emily Hill
+1 365 499 64810,Toronto-Dominion Bank,CA,Valid,004,NOT VALID - Not a US Bank Routing Number,Checking,PENDING,ND,Portland,"6437 Main St, Portland, ND 65246",Denise Diaz
+1 289 073 99194,Toronto-Dominion Bank,CA,Valid,004,NOT VALID - Not a US Bank Routing Number,Savings,ACTIVE,WY,Los Angeles,"1210 Main St, Los Angeles, WY 30659",Robert James Clark
+1 437 867 11615,Toronto-Dominion Bank,CA,Valid,004,NOT VALID - Not a US Bank Routing Number,Savings,ACTIVE,CT,Dallas,"117 Washington St, Dallas, CT 63037",John Richard Wilson
+1 647 047 87839,Toronto-Dominion Bank,CA,Valid,004,NOT VALID - Not a US Bank Routing Number,Business Checking,ACTIVE,LA,Columbus,"4123 Washington St, Columbus, LA 32638",Diana Bell
+1 905 326 32709,Toronto-Dominion Bank,CA,Valid,004,NOT VALID - Not a US Bank Routing Number,Business Checking,CLOSED,AR,New York,"7588 Elm St, New York, AR 65574",Jean Bailey
+1 416 099 95021,Toronto-Dominion Bank,CA,Invalid,004,NOT VALID - Not a US Bank Routing Number,CD,ACTIVE,AZ,Chicago,"5906 Washington St, Chicago, AZ 62622",Marilyn Cook
+1 647 684 96375,Toronto-Dominion Bank,CA,Valid,004,NOT VALID - Not a US Bank Routing Number,Student Checking,ACTIVE,PA,Charlotte,"1971 Maple St, Charlotte, PA 32916",Olivia Rivera
+1 437 532 45820,Toronto-Dominion Bank,CA,Valid,004,NOT VALID - Not a US Bank Routing Number,Student Checking,ACTIVE,WY,Phoenix,"9435 Maple St, Phoenix, WY 89482",Albert Gray
+1 289 051 91271,Toronto-Dominion Bank,CA,Valid,004,NOT VALID - Not a US Bank Routing Number,Student Checking,ACTIVE,IL,Austin,"7445 Cedar St, Austin, IL 73293",Russell Cook
+1 647 786 63757,Toronto-Dominion Bank,CA,Invalid,004,NOT VALID - Not a US Bank Routing Number,Student Checking,INVALID,MA,Chicago,"1150 Pine St, Chicago, MA 70795",Victoria Reed
