phone,phone_status,account_status,account_type,customer_id,bank_name,routing,swift,bank_type,branch_name,branch_address,branch_phone,account_state,account_city,full_name,first_name,middle_name,last_name,email,occupation,address,carrier,line_type,interest_rate,min_balance,monthly_fee,caller_firstname,caller_middlename,caller_lastname,caller_fullname
+12608278962,UNKNOWN,INVALID,Savings,JPMORGAN-CUST-4V5J-VA7W2W,JPMorgan Chase Bank,021407913,AFCUUS33,Credit Union,Jackson Main,"200 E Capitol St, Jackson, MS 39201",601-576-8000,MS,Jackson,Janet Cox,Janet,,Cox,janedavis42@yahoo.com,Engineer,"123 Main St, City, ST 12345",Unknown,Unknown,0.50%,$100,$0,Janet,,Cox,Janet Cox
+19042168892,VALID,ACTIVE,Savings,JPMORGAN-CUST-3XNF-EURAIV,JPMorgan Chase Bank,021407913,AFCUUS33,Credit Union,Chase Branch - San Francisco,"101 California St, San Francisco, CA 94111",415-677-8000,CA,San Francisco,Annie Diaz,Annie,,Diaz,lisawilliams97_520@gmail.com,Engineer,"123 Main St, City, ST 12345",Unknown,Unknown,0.50%,$100,$0,Annie,,Diaz,Annie Diaz
+18184446653,VALID,ACTIVE,Savings,JPMORGAN-CUST-BQ9B-N0SGNI,JPMorgan Chase Bank,021407913,AFCUUS33,Credit Union,Oklahoma City Main,"200 N Broadway Ave, Oklahoma City, OK 73102",405-576-9000,OK,Oklahoma City,Michael David Robinson,Michael,David,Robinson,lisawilliams11_464@outlook.com,Engineer,"123 Main St, City, ST 12345",Unknown,Unknown,0.50%,$100,$0,Michael,David,Robinson,Michael David Robinson
+12134141614,VALID,ACTIVE,Savings,JPMORGAN-CUST-NJ3B-6YW81F,JPMorgan Chase Bank,021407913,AFCUUS33,Credit Union,Chase Branch - Seattle,"1201 3rd Ave, Seattle, WA 98101",206-587-3000,WA,Seattle,Henry Myers,Henry,,Myers,emmagarcia97_320@yahoo.com,Engineer,"123 Main St, City, ST 12345",Unknown,Unknown,0.50%,$100,$0,Henry,,Myers,Henry Myers
+17136188720,VALID,ACTIVE,Savings,JPMORGAN-CUST-AZ0Q-AJT1BB,JPMorgan Chase Bank,021407913,AFCUUS33,Credit Union,New Orleans Main,"200 St Charles Ave, New Orleans, LA 70130",504-576-8000,LA,New Orleans,Philip Bailey,Philip,,Bailey,ryansmith56@outlook.com,Engineer,"123 Main St, City, ST 12345",Unknown,Unknown,0.50%,$100,$0,Philip,,Bailey,Philip Bailey
+13232518108,VALID,ACTIVE,Savings,JPMORGAN-CUST-TRN9-WFO0GV,JPMorgan Chase Bank,021407913,AFCUUS33,Credit Union,New Orleans Main,"200 St Charles Ave, New Orleans, LA 70130",504-576-8000,LA,New Orleans,Willie Gomez,Willie,,Gomez,davidbrown60_241@icloud.com,Engineer,"123 Main St, City, ST 12345",Unknown,Unknown,0.50%,$100,$0,Willie,,Gomez,Willie Gomez
+16368828956,VALID,ACTIVE,Savings,JPMORGAN-CUST-DFJR-RTP7UE,JPMorgan Chase Bank,021407913,AFCUUS33,Credit Union,Chase Branch - San Francisco,"101 California St, San Francisco, CA 94111",415-677-8000,CA,San Francisco,Bobby Rogers,Bobby,,Rogers,emmagarcia72.fast@hotmail.com,Engineer,"123 Main St, City, ST 12345",Unknown,Unknown,0.50%,$100,$0,Bobby,,Rogers,Bobby Rogers
+19843983948,VALID,ACTIVE,Savings,JPMORGAN-CUST-NIAZ-OYUTCF,JPMorgan Chase Bank,021407913,AFCUUS33,Credit Union,Chase Branch - Columbus,"1111 Polaris Pkwy, Columbus, OH 43240",614-438-7000,OH,Columbus,Nathan Hughes,Nathan,,Hughes,alexdavis50@hotmail.com,Engineer,"123 Main St, City, ST 12345",Unknown,Unknown,0.50%,$100,$0,Nathan,,Hughes,Nathan Hughes
+15064832257,VALID,ACTIVE,Savings,JPMORGAN-CUST-TOWJ-6AN0YT,JPMorgan Chase Bank,021407913,AFCUUS33,Credit Union,Chase Branch - Downtown Miami,"150 SE 2nd Ave, Miami, FL 33131",305-371-1600,FL,Miami,Charles Walker,Charles,,Walker,janebrown67_732@protonmail.com,Engineer,"123 Main St, City, ST 12345",Unknown,Unknown,0.50%,$100,$0,Charles,,Walker,Charles Walker
+18172684958,VALID,ACTIVE,Savings,JPMORGAN-CUST-QPSI-LTENGI,JPMorgan Chase Bank,021407913,AFCUUS33,Credit Union,Chase Branch - Boston,"200 Berkeley St, Boston, MA 02116",617-526-8000,MA,Boston,David Paul Thomas,David,Paul,Thomas,sarahdavis99@outlook.com,Engineer,"123 Main St, City, ST 12345",Unknown,Unknown,0.50%,$100,$0,David,Paul,Thomas,David Paul Thomas
